issue_id,issue_name,country_code,language,youtube_video_id,title,channel_name,channel_id,published_at,curation_reason,stance_hint,frame_hint,backup_rank
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,GdEcyKjNM1I,"Trump weighs MASSIVE Taiwan arms package as China threat looms",Fox News,UCXIJgqnII2ZOINSWNOGFThA,2026-05-19T18:45:00Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,DbnKSTIklls,"JUST IN: Taiwan president RESPONDS to Trump's historic China visit",Fox News,UCXIJgqnII2ZOINSWNOGFThA,2026-05-17T19:00:10Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,lhuA6defOsM,"Taiwan president says 'happy' to take up Trump's offer of call - FRANCE 24 English",FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,2026-05-21T14:46:09Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,yMuI-HCa6zU,"China issues stark new warning to Trump on Taiwan",CNN,UCupvZG-5ko_eiXAupbDfxWw,2026-05-14T14:59:55Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,sDmFZIFPRiI,"Where does Trump stand on Taiwan after China talks?",CNN,UCupvZG-5ko_eiXAupbDfxWw,2026-05-15T14:54:06Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,ZOlItZe_gaU,"Trump says Xi Jinping asked him if US would 'defend' Taiwan in war",Associated Press,UC52X5wxOL_s5yw0dQk7NtgA,2026-05-15T16:45:00Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,BUCCpohvF-4,"Trump says he discussed Taiwan arms sales with Xi",Reuters,UChqUTb7kYRX8-EiaN3XFrSQ,2026-05-15T16:41:07Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,UYlgU4TPg2k,"Xi warns Taiwan issue could put him at odds with Trump",Associated Press,UC52X5wxOL_s5yw0dQk7NtgA,2026-05-14T09:00:41Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,1
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,WcBbuBpGUBI,"Rubio says US policy on Taiwan unchanged after Trump-Xi meeting",NBC News,UCeY0bbntWzzVIaj2z3QigXg,2026-05-14T09:57:19Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,2
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,US,en,FIdnD5j231M,"Trump warns Taiwan not to declare independence | DW News",DW News,UCknLrEdhRCp1aegoMqRaCZg,2026-05-16T12:10:00Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,3
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,vJLBxkc6Y-4,"중국 발작버튼 누른 트럼프 ""중러 밀착? 칼춤 한 번 춰줄까?"" [PICK] / 연합뉴스TV(YonhapnewsTV)",연합뉴스TV,UCTHCOPwqNfZ0uiKOvFyhGwg,2026-05-21T07:46:31Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,q0Jo5F8pHbs,"[지식뉴스] ""시진핑의 '대만' 야욕""..오히려 벼랑 끝 트럼프 살렸다? 미중 충돌에 숨겨진 진짜 계산법 (ft.유신익 KB WM 수석이코노미스트) / 교양이를 부탁해",교양이를 부탁해,UChY8VUjXv0aA7RF9hDQ0ISg,2026-05-21T13:39:03Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,isE_8nX2v3c,"대만 문제 정리되나..트럼프 ""대만 중요하다는 중국 이해"" (2026.02.05/뉴스데스크/MBC)",MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,2026-02-05T11:30:41Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,prhqkWoJXQI,시진핑이 트럼프에게 대만 문제 강력 경고한 이유,지구뉴스(Jigu News),UCnO3lzE75HYGaFs3XD1KRaw,2026-05-14T12:26:32Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,L7HrD-wu43A,"트럼프 ""대만 관련 무슨 일 할지 시진핑이 결정할 일"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,UCTHCOPwqNfZ0uiKOvFyhGwg,2026-01-09T02:26:54Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,OUIzptLuYRo,[골라본 세상] 트럼프는 동맹을 버리나..국제미아로 전락한 대만 (2026.05.19/MBC),MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,2026-05-19T08:42:40Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,vy-TF8tWAtY,"육해공 순식간에 대만 '꽁꽁' ""잡은 물고기"" 트럼프 딴청에.. [뉴스.zip/MBC뉴스]",MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,2026-01-04T06:00:55Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,Tt3d_O9BPuY,정상회담 뒤 트럼프-시진핑 '초밀착'...뒤통수 맞은 대만 '패닉' [뉴스와] / 연합뉴스TV(YonhapnewsTV),연합뉴스TV,UCTHCOPwqNfZ0uiKOvFyhGwg,2026-05-17T02:39:35Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,4bB0Vjp7uJ4,"중국 압박 밀려오는데 트럼프는 ""대만 문제는 시진핑의 결정"" (2026.01.09/뉴스데스크/MBC)",MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,2026-01-09T11:29:15Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
